task,protocol,keep_ratio,mask_seed,metric_name,value,n_epochs,timestamp
depth,per_budget,1.0,0,rmse,0.6613416420786005,10,2026-08-16 09:07:46
depth,per_budget,1.0,0,absrel,0.17200506596188797,10,2026-08-16 09:07:46
depth,per_budget,1.0,0,delta1,0.71966111346295,10,2026-08-16 09:07:46
depth,per_budget,0.8,0,rmse,0.7696526081938493,10,2026-08-16 09:10:26
depth,per_budget,0.8,0,absrel,0.18790385127067566,10,2026-08-16 09:10:26
depth,per_budget,0.8,0,delta1,0.655648736577285,10,2026-08-16 09:10:26
depth,per_budget,0.8,1,rmse,0.7696737145122728,10,2026-08-16 09:12:58
depth,per_budget,0.8,1,absrel,0.18647343234012,10,2026-08-16 09:12:58
depth,per_budget,0.8,1,delta1,0.6546551396972254,10,2026-08-16 09:12:58
depth,per_budget,0.8,2,rmse,0.7766204507727372,10,2026-08-16 09:15:27
depth,per_budget,0.8,2,absrel,0.18800716729540573,10,2026-08-16 09:15:27
depth,per_budget,0.8,2,delta1,0.6489691891168293,10,2026-08-16 09:15:27
depth,per_budget,0.6,0,rmse,0.8553926944732666,10,2026-08-16 09:17:54
depth,per_budget,0.6,0,absrel,0.20395344103637494,10,2026-08-16 09:17:54
depth,per_budget,0.6,0,delta1,0.596361517906189,10,2026-08-16 09:17:54
depth,per_budget,0.6,1,rmse,0.8528080582618713,10,2026-08-16 09:20:15
depth,per_budget,0.6,1,absrel,0.2035132834785863,10,2026-08-16 09:20:15
depth,per_budget,0.6,1,delta1,0.5952912992552707,10,2026-08-16 09:20:15
depth,per_budget,0.6,2,rmse,0.8635842706027784,10,2026-08-16 09:22:41
depth,per_budget,0.6,2,absrel,0.2058327770546863,10,2026-08-16 09:22:41
depth,per_budget,0.6,2,delta1,0.588728677285345,10,2026-08-16 09:22:41
depth,per_budget,0.4,0,rmse,0.9415485639321176,10,2026-08-16 09:25:04
depth,per_budget,0.4,0,absrel,0.22535881870671323,10,2026-08-16 09:25:04
depth,per_budget,0.4,0,delta1,0.5389979544438814,10,2026-08-16 09:25:04
depth,per_budget,0.4,1,rmse,0.93565181995693,10,2026-08-16 09:27:26
depth,per_budget,0.4,1,absrel,0.22283195351299487,10,2026-08-16 09:27:26
depth,per_budget,0.4,1,delta1,0.5486019269416207,10,2026-08-16 09:27:26
depth,per_budget,0.4,2,rmse,0.9532816504177294,10,2026-08-16 09:29:47
depth,per_budget,0.4,2,absrel,0.2304895386884087,10,2026-08-16 09:29:47
depth,per_budget,0.4,2,delta1,0.5230049930120769,10,2026-08-16 09:29:47
depth,per_budget,0.2,0,rmse,1.078619542874788,10,2026-08-16 09:32:04
depth,per_budget,0.2,0,absrel,0.2646525698272805,10,2026-08-16 09:32:04
depth,per_budget,0.2,0,delta1,0.4505630480615716,10,2026-08-16 09:32:04
depth,per_budget,0.2,1,rmse,1.0694527124103748,10,2026-08-16 09:34:26
depth,per_budget,0.2,1,absrel,0.26448886488613327,10,2026-08-16 09:34:26
depth,per_budget,0.2,1,delta1,0.4598538201106222,10,2026-08-16 09:34:26
depth,per_budget,0.2,2,rmse,1.0797001939070852,10,2026-08-16 09:36:40
depth,per_budget,0.2,2,absrel,0.2629586520947908,10,2026-08-16 09:36:40
depth,per_budget,0.2,2,delta1,0.46187286157357066,10,2026-08-16 09:36:40
depth,per_budget,0.1,0,rmse,1.2077915417520624,10,2026-08-16 09:38:57
depth,per_budget,0.1,0,absrel,0.295891619826618,10,2026-08-16 09:38:57
depth,per_budget,0.1,0,delta1,0.4022025528707002,10,2026-08-16 09:38:57
depth,per_budget,0.1,1,rmse,1.170216572912116,10,2026-08-16 09:41:15
depth,per_budget,0.1,1,absrel,0.2944984114483783,10,2026-08-16 09:41:15
depth,per_budget,0.1,1,delta1,0.40584017963785873,10,2026-08-16 09:41:15
depth,per_budget,0.1,2,rmse,1.153549451577036,10,2026-08-16 09:43:30
depth,per_budget,0.1,2,absrel,0.29141467417541306,10,2026-08-16 09:43:30
depth,per_budget,0.1,2,delta1,0.41342298294368546,10,2026-08-16 09:43:30
depth,per_budget,0.05,0,rmse,1.2642653458996822,10,2026-08-16 09:45:48
depth,per_budget,0.05,0,absrel,0.31854393450837387,10,2026-08-16 09:45:48
depth,per_budget,0.05,0,delta1,0.3750000031370866,10,2026-08-16 09:45:48
depth,per_budget,0.05,1,rmse,1.2450286651912488,10,2026-08-16 09:48:07
depth,per_budget,0.05,1,absrel,0.31561794092780665,10,2026-08-16 09:48:07
depth,per_budget,0.05,1,delta1,0.37613820088537114,10,2026-08-16 09:48:07
depth,per_budget,0.05,2,rmse,1.220187616975684,10,2026-08-16 09:50:21
depth,per_budget,0.05,2,absrel,0.32100190928107813,10,2026-08-16 09:50:21
depth,per_budget,0.05,2,delta1,0.3768705482545652,10,2026-08-16 09:50:21
classification,per_budget,1.0,0,top1,0.9438539147377014,15,2026-08-16 09:50:22
classification,per_budget,0.8,0,top1,0.9373126029968262,15,2026-08-16 09:50:22
classification,per_budget,0.8,1,top1,0.9364949464797974,15,2026-08-16 09:50:22
classification,per_budget,0.8,2,top1,0.9386754035949707,15,2026-08-16 09:50:23
classification,per_budget,0.6,0,top1,0.9116925597190857,15,2026-08-16 09:50:23
classification,per_budget,0.6,1,top1,0.9133278727531433,15,2026-08-16 09:50:23
classification,per_budget,0.6,2,top1,0.9127827882766724,15,2026-08-16 09:50:24
classification,per_budget,0.4,0,top1,0.8184791207313538,15,2026-08-16 09:50:24
classification,per_budget,0.4,1,top1,0.8318343162536621,15,2026-08-16 09:50:24
classification,per_budget,0.4,2,top1,0.8252930045127869,15,2026-08-16 09:50:25
classification,per_budget,0.2,0,top1,0.4426274299621582,15,2026-08-16 09:50:25
classification,per_budget,0.2,1,top1,0.43772146105766296,15,2026-08-16 09:50:25
classification,per_budget,0.2,2,top1,0.44208231568336487,15,2026-08-16 09:50:25
classification,per_budget,0.1,0,top1,0.21231943368911743,15,2026-08-16 09:50:26
classification,per_budget,0.1,1,top1,0.21068410575389862,15,2026-08-16 09:50:26
classification,per_budget,0.1,2,top1,0.21204687654972076,15,2026-08-16 09:50:26
classification,per_budget,0.05,0,top1,0.1365494728088379,15,2026-08-16 09:50:27
classification,per_budget,0.05,1,top1,0.13627691566944122,15,2026-08-16 09:50:27
classification,per_budget,0.05,2,top1,0.1452711969614029,15,2026-08-16 09:50:27
