task,protocol,keep_ratio,mask_seed,metric_name,value,n_epochs,timestamp
depth,per_budget,1.0,0,rmse,0.65338281894985,10,2026-08-16 06:44:35
depth,per_budget,1.0,0,absrel,0.17100010812282562,10,2026-08-16 06:44:35
depth,per_budget,1.0,0,delta1,0.7256672664692527,10,2026-08-16 06:44:35
depth,per_budget,0.8,0,rmse,0.7594947532603615,10,2026-08-16 06:47:20
depth,per_budget,0.8,0,absrel,0.1851323890058618,10,2026-08-16 06:47:20
depth,per_budget,0.8,0,delta1,0.6620166803661146,10,2026-08-16 06:47:20
depth,per_budget,0.8,1,rmse,0.7609229432909113,10,2026-08-16 06:50:01
depth,per_budget,0.8,1,absrel,0.18551016481299148,10,2026-08-16 06:50:01
depth,per_budget,0.8,1,delta1,0.6623636954709103,10,2026-08-16 06:50:01
depth,per_budget,0.8,2,rmse,0.7564076969498083,10,2026-08-16 06:52:47
depth,per_budget,0.8,2,absrel,0.18596228957176208,10,2026-08-16 06:52:47
depth,per_budget,0.8,2,delta1,0.6597592203240645,10,2026-08-16 06:52:47
depth,per_budget,0.6,0,rmse,0.8503107020729467,10,2026-08-16 06:55:15
depth,per_budget,0.6,0,absrel,0.20258588696780958,10,2026-08-16 06:55:15
depth,per_budget,0.6,0,delta1,0.6049397901484841,10,2026-08-16 06:55:15
depth,per_budget,0.6,1,rmse,0.8441216004522223,10,2026-08-16 06:57:44
depth,per_budget,0.6,1,absrel,0.20034035334461614,10,2026-08-16 06:57:44
depth,per_budget,0.6,1,delta1,0.6130704158230832,10,2026-08-16 06:57:44
depth,per_budget,0.6,2,rmse,0.8386139838319076,10,2026-08-16 08:14:09
depth,per_budget,0.6,2,absrel,0.20060806446953824,10,2026-08-16 08:14:09
depth,per_budget,0.6,2,delta1,0.6060497980368765,10,2026-08-16 08:14:09
depth,per_budget,0.4,0,rmse,0.9274398119826066,10,2026-08-16 08:16:25
depth,per_budget,0.4,0,absrel,0.22329716384410858,10,2026-08-16 08:16:25
depth,per_budget,0.4,0,delta1,0.5438805497006366,10,2026-08-16 08:16:25
depth,per_budget,0.4,1,rmse,0.9339417972062763,10,2026-08-16 08:18:44
depth,per_budget,0.4,1,absrel,0.2224894150307304,10,2026-08-16 08:18:44
depth,per_budget,0.4,1,delta1,0.5524513454813706,10,2026-08-16 08:18:44
depth,per_budget,0.4,2,rmse,0.9280405671972978,10,2026-08-16 08:21:08
depth,per_budget,0.4,2,absrel,0.22441323179947703,10,2026-08-16 08:21:08
depth,per_budget,0.4,2,delta1,0.5375567549153378,10,2026-08-16 08:21:08
depth,per_budget,0.2,0,rmse,1.1067956152715182,10,2026-08-16 08:23:28
depth,per_budget,0.2,0,absrel,0.27859938458392497,10,2026-08-16 08:23:28
depth,per_budget,0.2,0,delta1,0.4366706031325616,10,2026-08-16 08:23:28
depth,per_budget,0.2,1,rmse,1.0726289184469926,10,2026-08-16 08:25:40
depth,per_budget,0.2,1,absrel,0.2717885390708321,10,2026-08-16 08:25:40
depth,per_budget,0.2,1,delta1,0.4700653176558645,10,2026-08-16 08:25:40
depth,per_budget,0.2,2,rmse,1.0916184563385813,10,2026-08-16 08:27:51
depth,per_budget,0.2,2,absrel,0.2742588786702407,10,2026-08-16 08:27:51
depth,per_budget,0.2,2,delta1,0.4442815129694186,10,2026-08-16 08:27:51
depth,per_budget,0.1,0,rmse,1.2253076685102362,10,2026-08-16 08:30:05
depth,per_budget,0.1,0,absrel,0.3058876708934182,10,2026-08-16 08:30:05
depth,per_budget,0.1,0,delta1,0.3972230663425044,10,2026-08-16 08:30:05
depth,per_budget,0.1,1,rmse,1.2097209723372209,10,2026-08-16 08:32:14
depth,per_budget,0.1,1,absrel,0.31191464317472356,10,2026-08-16 08:32:14
depth,per_budget,0.1,1,delta1,0.39169638172576304,10,2026-08-16 08:32:14
depth,per_budget,0.1,2,rmse,1.1995139435717934,10,2026-08-16 08:34:27
depth,per_budget,0.1,2,absrel,0.30821310689574793,10,2026-08-16 08:34:27
depth,per_budget,0.1,2,delta1,0.3959787856591375,10,2026-08-16 08:34:27
depth,per_budget,0.05,0,rmse,1.2963499583696063,10,2026-08-16 08:36:37
depth,per_budget,0.05,0,absrel,0.33445386980709274,10,2026-08-16 08:36:37
depth,per_budget,0.05,0,delta1,0.3630001356727199,10,2026-08-16 08:36:37
depth,per_budget,0.05,1,rmse,1.2596104239162647,10,2026-08-16 08:38:45
depth,per_budget,0.05,1,absrel,0.32757202731935603,10,2026-08-16 08:38:45
depth,per_budget,0.05,1,delta1,0.3659020764263053,10,2026-08-16 08:38:45
depth,per_budget,0.05,2,rmse,1.2316219492962486,10,2026-08-16 08:40:59
depth,per_budget,0.05,2,absrel,0.32998591818307577,10,2026-08-16 08:40:59
depth,per_budget,0.05,2,delta1,0.3696507952715221,10,2026-08-16 08:40:59
classification,per_budget,1.0,0,top1,0.9441264867782593,15,2026-08-16 08:41:23
classification,per_budget,0.8,0,top1,0.9364949464797974,15,2026-08-16 08:41:44
classification,per_budget,0.8,1,top1,0.9364949464797974,15,2026-08-16 08:42:05
classification,per_budget,0.8,2,top1,0.9386754035949707,15,2026-08-16 08:42:26
classification,per_budget,0.6,0,top1,0.9100572466850281,15,2026-08-16 08:42:44
classification,per_budget,0.6,1,top1,0.9108749032020569,15,2026-08-16 08:43:02
classification,per_budget,0.6,2,top1,0.9179612994194031,15,2026-08-16 08:43:20
classification,per_budget,0.4,0,top1,0.821204662322998,15,2026-08-16 08:43:34
classification,per_budget,0.4,1,top1,0.8337421417236328,15,2026-08-16 08:43:49
classification,per_budget,0.4,2,top1,0.8266557455062866,15,2026-08-16 08:44:03
classification,per_budget,0.2,0,top1,0.4469882845878601,15,2026-08-16 08:44:16
classification,per_budget,0.2,1,top1,0.4461706280708313,15,2026-08-16 08:44:30
classification,per_budget,0.2,2,top1,0.4409920871257782,15,2026-08-16 08:44:43
classification,per_budget,0.1,0,top1,0.21749795973300934,15,2026-08-16 08:44:56
classification,per_budget,0.1,1,top1,0.2153175324201584,15,2026-08-16 08:45:09
classification,per_budget,0.1,2,top1,0.21068410575389862,15,2026-08-16 08:45:22
classification,per_budget,0.05,0,top1,0.13763968646526337,15,2026-08-16 08:45:35
classification,per_budget,0.05,1,top1,0.13491414487361908,15,2026-08-16 08:45:48
classification,per_budget,0.05,2,top1,0.13436903059482574,15,2026-08-16 08:46:01
